idIsinCodeFk,mnemonicCode,fisnCode,nominalAmount,currencyCode,stockQuantity,operationYield,operationPrice,operationDate,operationHour,operationType,operationPart,settlementSystem,settlementDate,operationState,idMechanismOperationPk,indSendOtcApp,issuanceDate,expirationDate,operationRate,issuerName,shortName,checkDigit
USP3579ECG00,BSRD2060,DOMINICAN REP/5.875 BD 20600130 U,27000,USD,27,6.7794615,88.064977,08/06/2026,06:22:22 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151425,0,30/01/2020,30/01/2060,0,MINISTERIO DE HACIENDA,HACIENDA,62020
USP3579EAG28,BSRD2027,DOMINICAN Rep/8.625 BD 20270420 U,39999.6,USD,40,5.33593,102.729897,08/06/2026,06:08:27 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151423,0,20/03/2006,20/04/2027,0,MINISTERIO DE HACIENDA,HACIENDA,63007
USP3579ECB13,BSRD2028,"DOMINICAN, REP /6 BD 20280719 REGS",4400000,USD,4400,5.347279,101.28,08/06/2026,05:58:31 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151424,0,19/07/2018,19/07/2028,0,MINISTERIO DE HACIENDA,HACIENDA,62496
USP3579ECH82,BSRD2032,"DOMINICAN, REP /4.875 BD 20320923",15500000,USD,15500,6.0185,94.08315,08/06/2026,05:52:03 PM,PLAZO,PRIMERA PARTE,ROTC,12/06/2026,CONFIRMADA,3151420,0,23/09/2020,23/09/2032,0,MINISTERIO DE HACIENDA,HACIENDA,61306
DO1002224124,NO120327,BCENTRAL/8 BOEST 20270312 GTIA,6390000,DOP,639,9,99.260638,08/06/2026,05:22:20 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3150595,0,12/03/2022,12/03/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58408
DO2003000323,BS4PRO01,PROMERICA/13.5 SUBD 20320727,15000000,DOP,150000,9.4,118.93875,08/06/2026,05:15:52 PM,CONTADO,PRIMERA PARTE,ROTC,10/06/2026,CONFIRMADA,3151361,0,27/07/2022,27/07/2032,0,BANCO MULTIPLE PROMERICA DE LA REPUBLICA DOMINICANA,PROMERICA,59598
DO1005205716,MHUS2027,HACIENDA/6 BOEST 20270305 GTIA,450000,USD,450,3.011,102.12665,08/06/2026,05:13:40 PM,PLAZO,PRIMERA PARTE,ROTC,12/06/2026,CONFIRMADA,3150573,0,05/09/2016,05/03/2027,0,MINISTERIO DE HACIENDA,HACIENDA,58506
USP3579ECQ81,BSDR2033, ,89000000,DOP,1780,9.969938,117.42507,08/06/2026,05:13:17 PM,CONTADO,PRIMERA PARTE,ROTC,10/06/2026,CONFIRMADA,3151362,0,03/02/2023,03/02/2033,0,MINISTERIO DE HACIENDA,HACIENDA,50036
USP3579ECH82,BSRD2032,"DOMINICAN, REP /4.875 BD 20320923",15127000,USD,15127,5.7,95.682236,08/06/2026,05:11:53 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151421,0,23/09/2020,23/09/2032,0,MINISTERIO DE HACIENDA,HACIENDA,61677
USP3579EAY34,BSRD2044,DOMINICAN Rep/7.45 BD 20440430 GO,5641000,USD,5641,6.5044,109.900029,08/06/2026,05:10:41 PM,PLAZO,PRIMERA PARTE,ROTC,12/06/2026,CONFIRMADA,3150585,0,30/04/2014,30/04/2044,0,MINISTERIO DE HACIENDA,HACIENDA,62216
DO1002227721,NO111226,BCENTRAL/9 BOEST 20261211 GTIA,100000000,DOP,10000,7.75,100.604457,08/06/2026,05:08:31 PM,CONTADO,PRIMERA PARTE,ROTC,10/06/2026,CONFIRMADA,3151414,0,11/12/2023,11/12/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,60809
USP3579EDB04,BSRD2038, ,7976000,USD,7976,6.1428,100.015366,08/06/2026,05:07:54 PM,PLAZO,PRIMERA PARTE,ROTC,12/06/2026,CONFIRMADA,3150571,0,17/02/2026,17/05/2038,0,MINISTERIO DE HACIENDA,HACIENDA,48377
DO2003000620,BS4PRO02,PROMERICA/12 SUBD 20341015,10000000,DOP,100000,7.75,125.757045,08/06/2026,05:04:18 PM,CONTADO,PRIMERA PARTE,ROTC,10/06/2026,CONFIRMADA,3151411,0,15/10/2024,15/10/2034,0,BANCO MULTIPLE PROMERICA DE LA REPUBLICA DOMINICANA,PROMERICA,59458
USP3579EBE60,BSRD2045,DOMINICAN Rep/6.85 BD 20450127 Un,60000,USD,60,6.712569,101.438,08/06/2026,05:02:51 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151398,0,27/01/2015,27/01/2045,0,MINISTERIO DE HACIENDA,HACIENDA,61621
DO1002223324,NO271126,BCENTRAL/6.5 BOEST 20261127 GTIA,25000000,DOP,2500,7.5,99.543242,08/06/2026,05:02:09 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151416,0,27/11/2021,27/11/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,60347
DO2028900119,BC1ENA01,ENADOM/7.9 BO 20340912,34600,USD,34600,7.39386588,103.07,08/06/2026,05:01:53 PM,CONTADO,PRIMERA PARTE,ROTC,09/06/2026,CONFIRMADA,3151415,0,12/09/2024,12/09/2034,0,ENERGIA NATURAL DOMINICANA ENADOM SRL,ENADOM,56609
DO1002224124,NO120327,BCENTRAL/8 BOEST 20270312 GTIA,1037050000,DOP,103705,9.057161,99.227611,08/06/2026,04:59:31 PM,PLAZO,PRIMERA PARTE,ROTC,12/06/2026,CONFIRMADA,3150903,0,12/03/2022,12/03/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,61957
