idIsinCodeFk,mnemonicCode,fisnCode,nominalAmount,currencyCode,stockQuantity,operationYield,operationPrice,operationDate,operationHour,operationType,operationPart,settlementSystem,settlementDate,operationState,idMechanismOperationPk,indSendOtcApp,issuanceDate,expirationDate,operationRate,issuerName,shortName,checkDigit
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,67030000,DOP,6703,9,92.048337,29/05/2026,06:29:35 PM,PRESTAMO,SEGUNDA PARTE,ROTC,05/10/2026,CONFIRMADA,3136563,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57848
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,67030000,DOP,6703,9,92.048337,29/05/2026,06:29:35 PM,PRESTAMO,PRIMERA PARTE,ROTC,02/06/2026,CONFIRMADA,3136563,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57925
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,67030000,DOP,6703,10.361787,94.918455,29/05/2026,06:29:32 PM,PLAZO,PRIMERA PARTE,ROTC,05/10/2026,CONFIRMADA,3136562,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59192
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,67030000,DOP,6703,9.999635,92.048337,29/05/2026,06:29:31 PM,CONTADO,PRIMERA PARTE,ROTC,02/06/2026,CONFIRMADA,3136566,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59829
DO1002227721,NO111226,BCENTRAL/9 BOEST 20261211 GTIA,300000,DOP,30,10.199999,99.396315,29/05/2026,06:29:26 PM,CONTADO,PRIMERA PARTE,ROTC,02/06/2026,CONFIRMADA,3136558,0,11/12/2023,11/12/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,60564
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,2170000,DOP,217,8.45,92.165899,29/05/2026,06:29:15 PM,PRESTAMO,SEGUNDA PARTE,ROTC,31/08/2026,CONFIRMADA,3136557,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58261
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,2170000,DOP,217,8.45,92.165899,29/05/2026,06:29:15 PM,PRESTAMO,PRIMERA PARTE,ROTC,01/06/2026,CONFIRMADA,3136557,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58289
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,2170000,DOP,217,10.158506,94.129878,29/05/2026,06:29:13 PM,PLAZO,PRIMERA PARTE,ROTC,31/08/2026,CONFIRMADA,3136556,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58443
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,2170000,DOP,217,9.807692,92.165899,29/05/2026,06:28:51 PM,CONTADO,PRIMERA PARTE,ROTC,01/06/2026,CONFIRMADA,3136553,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59101
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,3390000,DOP,339,10.210501,91.870304,29/05/2026,06:28:08 PM,CONTADO,PRIMERA PARTE,ROTC,01/06/2026,CONFIRMADA,3136552,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59185
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,3390000,DOP,339,11.31569,95.154667,29/05/2026,06:28:06 PM,PLAZO,PRIMERA PARTE,ROTC,29/10/2026,CONFIRMADA,3136554,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58149
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,3390000,DOP,339,8.6,91.870304,29/05/2026,06:28:04 PM,PRESTAMO,SEGUNDA PARTE,ROTC,29/10/2026,CONFIRMADA,3136555,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57834
DO1002261928,LE090427,BCENTRAL/ LT 20270409 GTIA,3390000,DOP,339,8.6,91.870304,29/05/2026,06:28:04 PM,PRESTAMO,PRIMERA PARTE,ROTC,01/06/2026,CONFIRMADA,3136555,0,09/04/2026,09/04/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,57862
