idIsinCodeFk,mnemonicCode,fisnCode,nominalAmount,currencyCode,stockQuantity,operationYield,operationPrice,operationDate,operationHour,operationType,operationPart,settlementSystem,settlementDate,operationState,idMechanismOperationPk,indSendOtcApp,issuanceDate,expirationDate,operationRate,issuerName,shortName,checkDigit
DO1005208629,MH12031,HACIENDA/8.5 BOEST 20310611 GTIA,30000000,DOP,300,8.350012,101.0345,09/09/2026,05:53:07 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334459,0,11/06/2021,11/06/2031,0,MINISTERIO DE HACIENDA,HACIENDA,60585
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,140000,DOP,14,9.00000008,101.414908,09/09/2026,05:50:57 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334372,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,61523
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,7410000,DOP,741,9.45000005,100.123245,09/09/2026,05:47:47 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334363,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,62300
DO1005211227,MH32029,HACIENDA/12.75 BOEST 20290923 GTIA,29500000,DOP,295,8.28,111.765221,09/09/2026,05:45:56 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334461,0,23/09/2022,23/09/2029,0,MINISTERIO DE HACIENDA,HACIENDA,60963
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,1250000,DOP,125,9.41402589,100.225747,09/09/2026,05:45:54 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334293,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,62419
DO1005213025,MH22031,HACIENDA/10.25 BOEST 20310209 GTIA,10000000,DOP,100,8.349992,106.9044,09/09/2026,05:43:42 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334460,0,09/02/2024,09/02/2031,0,MINISTERIO DE HACIENDA,HACIENDA,61355
DO1005204412,MH12029,HACIENDA/11.375 BOEST 20290706 GTIA,10000000,DOP,100,8.279989,107.6012,09/09/2026,05:42:37 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334462,0,06/07/2014,06/07/2029,0,MINISTERIO DE HACIENDA,HACIENDA,61887
DO1005213025,MH22031,HACIENDA/10.25 BOEST 20310209 GTIA,21200000,DOP,212,8.29999993,107.093749,09/09/2026,05:42:34 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334321,0,09/02/2024,09/02/2031,0,MINISTERIO DE HACIENDA,HACIENDA,63028
DO1005213025,MH22031,HACIENDA/10.25 BOEST 20310209 GTIA,21200000,DOP,212,8.1000001,107.855459,09/09/2026,05:40:59 PM,CONTADO,PRIMERA PARTE,ROTC,11/09/2026,CONFIRMADA,3334322,0,09/02/2024,09/02/2031,0,MINISTERIO DE HACIENDA,HACIENDA,62356
USP3579ECS48,BSDR2035, ,150000000,DOP,3000,9.12,112.898238,09/09/2026,05:36:17 PM,CONTADO,PRIMERA PARTE,ROTC,10/09/2026,CONFIRMADA,3334485,0,15/09/2023,15/09/2035,0,MINISTERIO DE HACIENDA,HACIENDA,49147
