idIsinCodeFk,mnemonicCode,fisnCode,nominalAmount,currencyCode,stockQuantity,operationYield,operationPrice,operationDate,operationHour,operationType,operationPart,settlementSystem,settlementDate,operationState,idMechanismOperationPk,indSendOtcApp,issuanceDate,expirationDate,operationRate,issuerName,shortName,checkDigit
DO1005254219,MH22041,HACIENDA/12 BOEST 20410529 GTIA,200000000,DOP,2000,10.3,112.765176,22/07/2026,05:59:39 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237580,0,29/05/2026,29/05/2041,0,MINISTERIO DE HACIENDA,HACIENDA,60312
USP3579EBV85,BSDR2027,DOMINICAN Rep/5.95 BD 20270125 Se,3285000,USD,3285,4.89,100.52,22/07/2026,05:47:17 PM,CONTADO,PRIMERA PARTE,ROTC,24/07/2026,CONFIRMADA,3237558,0,25/01/2017,25/01/2027,0,MINISTERIO DE HACIENDA,HACIENDA,61404
USP3579ECP09,BSRD2029, ,1000000,USD,1000,5.556831,99.86,22/07/2026,05:46:47 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237388,0,22/02/2022,22/02/2029,0,MINISTERIO DE HACIENDA,HACIENDA,48202
DO1002261522,NO180130,BCENTRAL/9.5 BOEST 20300118 GTIA,9100000,DOP,910,9.2,100.874965,22/07/2026,05:46:28 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237579,0,18/01/2026,18/01/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,60032
DO1002223621,NO150127,BCENTRAL/8 BOEST 20270115 GTIA,2050000,DOP,205,9.4,99.356064,22/07/2026,05:46:19 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237578,0,15/01/2022,15/01/2027,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59010
DO1002227721,NO111226,BCENTRAL/9 BOEST 20261211 GTIA,7050000,DOP,705,7.85,100.412912,22/07/2026,05:45:52 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237577,0,11/12/2023,11/12/2026,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59619
USP3579ECB13,BSRD2028,"DOMINICAN, REP /6 BD 20280719 REGS",197000,USD,197,4.2,101.456176,22/07/2026,05:45:38 PM,PRESTAMO,SEGUNDA PARTE,ROTC,20/11/2026,CONFIRMADA,3237576,0,19/07/2018,19/07/2028,0.02,MINISTERIO DE HACIENDA,HACIENDA,62083
USP3579ECB13,BSRD2028,"DOMINICAN, REP /6 BD 20280719 REGS",197000,USD,197,4.2,101.456176,22/07/2026,05:45:38 PM,PRESTAMO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237576,0,19/07/2018,19/07/2028,0.02,MINISTERIO DE HACIENDA,HACIENDA,62202
USP3579ECB13,BSRD2028,"DOMINICAN, REP /6 BD 20280719 REGS",197000,USD,197,5.408304,100.920728,22/07/2026,05:45:31 PM,PLAZO,PRIMERA PARTE,ROTC,20/11/2026,CONFIRMADA,3237575,0,19/07/2018,19/07/2028,0,MINISTERIO DE HACIENDA,HACIENDA,62286
USP3579ECB13,BSRD2028,"DOMINICAN, REP /6 BD 20280719 REGS",197000,USD,197,5.219235,101.456176,22/07/2026,05:45:24 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237574,0,19/07/2018,19/07/2028,0,MINISTERIO DE HACIENDA,HACIENDA,63301
DO1002261522,NO180130,BCENTRAL/9.5 BOEST 20300118 GTIA,100000,DOP,10,9.1,101.169718,22/07/2026,05:45:14 PM,CONTADO,PRIMERA PARTE,ROTC,23/07/2026,CONFIRMADA,3237573,0,18/01/2026,18/01/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59143
