idIsinCodeFk,mnemonicCode,fisnCode,nominalAmount,currencyCode,stockQuantity,operationYield,operationPrice,operationDate,operationHour,operationType,operationPart,settlementSystem,settlementDate,operationState,idMechanismOperationPk,indSendOtcApp,issuanceDate,expirationDate,operationRate,issuerName,shortName,checkDigit
USP3579ECF27,BSRD2030,DOMINICAN REP/4.5 BD 20300130 UNS,8000,USD,8,5.3,97.228444,13/03/2026,05:30:57 PM,CONTADO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008767,0,30/01/2020,30/01/2030,0,MINISTERIO DE HACIENDA,HACIENDA,59318
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,442209,DOP,442209,11.3805,99.535407,13/03/2026,05:30:29 PM,PRESTAMO,SEGUNDA PARTE,ROTC,15/05/2026,CONFIRMADA,3008834,0,30/11/2020,30/11/2030,1.352085,ACERO ESTRELLA S A,AESTRELLA,60011
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,442209,DOP,442209,11.2496,99.994802,13/03/2026,05:30:29 PM,PRESTAMO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008834,0,30/11/2020,30/11/2030,1.352085,ACERO ESTRELLA S A,AESTRELLA,60165
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,442209,DOP,442209,11.3805,99.535407,13/03/2026,05:30:15 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,15/05/2026,CONFIRMADA,3008833,0,30/11/2020,30/11/2030,1.352085,ACERO ESTRELLA S A,AESTRELLA,62076
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,442209,DOP,442209,11.2496,99.994802,13/03/2026,05:30:15 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008833,0,30/11/2020,30/11/2030,1.352085,ACERO ESTRELLA S A,AESTRELLA,62230
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,1000000,DOP,100,9.5,99.980118,13/03/2026,05:28:20 PM,CONTADO,PRIMERA PARTE,ROTC,16/03/2026,CONFIRMADA,3008764,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59430
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,1000000,DOP,100,9.2,100.941641,13/03/2026,05:27:09 PM,CONTADO,PRIMERA PARTE,ROTC,16/03/2026,CONFIRMADA,3008765,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59654
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,80574,DOP,80574,10.6442,102.123961,13/03/2026,05:26:00 PM,PRESTAMO,SEGUNDA PARTE,ROTC,15/06/2026,CONFIRMADA,3008832,0,30/11/2020,30/11/2030,2.087502,ACERO ESTRELLA S A,AESTRELLA,59556
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,80574,DOP,80574,11.2496,99.994802,13/03/2026,05:26:00 PM,PRESTAMO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008832,0,30/11/2020,30/11/2030,2.087502,ACERO ESTRELLA S A,AESTRELLA,59493
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,80574,DOP,80574,10.6442,102.123961,13/03/2026,05:25:10 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,15/06/2026,CONFIRMADA,3008831,0,30/11/2020,30/11/2030,2.087502,ACERO ESTRELLA S A,AESTRELLA,61656
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,80574,DOP,80574,11.2496,99.994802,13/03/2026,05:25:10 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008831,0,30/11/2020,30/11/2030,2.087502,ACERO ESTRELLA S A,AESTRELLA,61593
USP3579ECJ49,BSRD2041, ,200000,USD,200,6.58,87.978564,13/03/2026,05:22:06 PM,CONTADO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008630,0,21/01/2021,21/01/2041,0,MINISTERIO DE HACIENDA,HACIENDA,47432
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,1500000,DOP,150,9.03,101.491605,13/03/2026,05:22:00 PM,CONTADO,PRIMERA PARTE,ROTC,16/03/2026,CONFIRMADA,3008843,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,59976
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,101436,DOP,101436,11.3805,99.535411,13/03/2026,05:21:10 PM,PRESTAMO,SEGUNDA PARTE,ROTC,15/05/2026,CONFIRMADA,3008830,0,30/11/2020,30/11/2030,1.352079,ACERO ESTRELLA S A,AESTRELLA,59822
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,101436,DOP,101436,11.2496,99.994802,13/03/2026,05:21:10 PM,PRESTAMO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008830,0,30/11/2020,30/11/2030,1.352079,ACERO ESTRELLA S A,AESTRELLA,60011
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,101436,DOP,101436,11.3805,99.535411,13/03/2026,05:20:30 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,15/05/2026,CONFIRMADA,3008829,0,30/11/2020,30/11/2030,1.352079,ACERO ESTRELLA S A,AESTRELLA,61929
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,101436,DOP,101436,11.2496,99.994802,13/03/2026,05:20:30 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008829,0,30/11/2020,30/11/2030,1.352079,ACERO ESTRELLA S A,AESTRELLA,62118
DO1002261621,NO010230,BCENTRAL/9.5 BOEST 20300201 GTIA,19500000,DOP,1950,9.2,100.93989,13/03/2026,05:19:10 PM,CONTADO,PRIMERA PARTE,ROTC,18/03/2026,CONFIRMADA,3008632,0,01/02/2026,01/02/2030,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,60242
USP3579ECJ49,BSRD2041, ,200000,USD,200,6.15,91.794153,13/03/2026,05:16:10 PM,CONTADO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008631,0,21/01/2021,21/01/2041,0,MINISTERIO DE HACIENDA,HACIENDA,47264
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,384422,DOP,384422,11.3359,99.691911,13/03/2026,05:14:39 PM,PRESTAMO,SEGUNDA PARTE,ROTC,15/05/2026,CONFIRMADA,3008822,0,30/11/2020,30/11/2030,1.507778,ACERO ESTRELLA S A,AESTRELLA,60109
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,384422,DOP,384422,11.2496,99.994802,13/03/2026,05:14:39 PM,PRESTAMO,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008822,0,30/11/2020,30/11/2030,1.507778,ACERO ESTRELLA S A,AESTRELLA,60214
DO1002228729,NO030328,BCENTRAL/9.5 BOEST 20280303 GTIA,110000,DOP,11,8,102.671865,13/03/2026,05:14:39 PM,CONTADO,PRIMERA PARTE,ROTC,16/03/2026,CONFIRMADA,3008839,0,03/03/2025,03/03/2028,0,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,BCENTRAL,58604
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,384422,DOP,384422,11.3359,99.691911,13/03/2026,05:14:28 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,15/05/2026,CONFIRMADA,3008821,0,30/11/2020,30/11/2030,1.507778,ACERO ESTRELLA S A,AESTRELLA,62195
DO2018100324,BC1AES03,AESTRELLA/11.25 BO 20301130,384422,DOP,384422,11.2496,99.994802,13/03/2026,05:14:28 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,17/03/2026,CONFIRMADA,3008821,0,30/11/2020,30/11/2030,1.507778,ACERO ESTRELLA S A,AESTRELLA,62300
USP3579ECH82,BSRD2032,"DOMINICAN, REP /4.875 BD 20320923",101000,USD,101,5.78,95.140378,13/03/2026,05:14:18 PM,CONTADO,PRIMERA PARTE,ROTC,16/03/2026,CONFIRMADA,3008627,0,23/09/2020,23/09/2032,0,MINISTERIO DE HACIENDA,HACIENDA,60445
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,62744,DOP,62744,10.2146,102.515539,13/03/2026,05:13:44 PM,ESTRUCTURADA,SEGUNDA PARTE,ROTC,15/04/2026,CONFIRMADA,3008791,0,24/06/2019,24/06/2029,0.670833,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,62510
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,62744,DOP,62744,11.1505,99.99506,13/03/2026,05:13:44 PM,ESTRUCTURADA,PRIMERA PARTE,ROTC,16/03/2026,CONFIRMADA,3008791,0,24/06/2019,24/06/2029,0.670833,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,62006
DO2016300223,BC1GUL02,GULFSTREAM/11.15 BO 20290624,62744,DOP,62744,10.2146,102.515539,13/03/2026,05:13:42 PM,PRESTAMO,SEGUNDA PARTE,ROTC,15/04/2026,CONFIRMADA,3008792,0,24/06/2019,24/06/2029,0.670833,GULFSTREAM PETROLEUM DOMINICANA S DE RL,GULFSTREAM,60396
